"Listagem do Browse","","","","","","","","","","","","","","","","","","","","","",""
"Descricao","Numero da SC","Numero","Fornecedor","Nome Fornece","Centro Custo","Produto","Descricao","Unidade","Quantidade","Prc Unitario","Vlr.Total","Data Emissao","Dt Lib. PC","Tipo","Item","Item da SC","Filial","Nome Usuario","Grupo","Status Aprov","DT Baixa","Num da Nota"
"15 DD","","174781","006350","J M MARTINS NETO","1235","0000005611","LOCACAO VEIC CARRETA PRANCHA C/COND","UN","  1.00000000 ","  9,500.0000 ","  9,500.00 ","1/5/2026","1/7/2026","  1 ","0001","","01-PA - MANAUS","JUANMARTINS","0540002","Aprovado","2/19/2026","008788215 - ND"
"15 DD","","174782","006350","J M MARTINS NETO","1235","0000006845","SERV TRANSP MUNICIP MAT DIV ORIG MANAUS-TABOCA-DMT 380KM","UN","  1.00000000 ","  5,500.0000 ","  5,500.00 ","1/5/2026","1/8/2026","  1 ","0001","","01-PA - MANAUS","JUANMARTINS","2160002","Aprovado","3/2/2026","007265454 - ND"
"A PRAZO","","174783","007356","EXATA CALIBRACAO DE INSTRUMENTOS DE MEDI","1217","0000000107","SERV CALIBR EQUIPAMENTOS","UN","  1.00000000 ","  807.1200 ","  807.12 ","1/5/2026","1/6/2026","  1 ","0001","","01-PA - MANAUS","JUANMARTINS","2140001","Aprovado","1/8/2026","000007481 - NFS"
"A PRAZO","","174785","000088","COPLAST IND.E COM.DE RES.PLAST.LTDA","1223","1000000084","COLETA E INCINERACAO DE REJEITO DOMESTICO (LIXO COMUM)","KG","  110.00000000 ","  0.9900 ","  108.90 ","1/5/2026","1/5/2026","  1 ","0001","","01-PA - MANAUS","SMAIA","1000","Aprovado","2/27/2026","000000043 - 900"
"A PRAZO","","174787","000088","COPLAST IND.E COM.DE RES.PLAST.LTDA","2010","1000000180","COLETA E INCINERACAO DE SUCATA DE ELETRO ELETRONICO","KG","  100.00000000 ","  0.9900 ","  99.00 ","1/5/2026","1/19/2026","  1 ","0001","","01-PA - MANAUS","SMAIA","1000","Aprovado","2/27/2026","000000041 - 800"
"A PRAZO","","174788","015053","LCR COMUNICACAO MULT LTDA","3006","0007000002","SERVICO DE TELEFONIA","MS","  1.00000000 ","  425.0000 ","  425.00 ","1/5/2026","1/5/2026","  1 ","0001","","01-PA - MANAUS","TAYANE.OLIVEIRA","0007","Aprovado","1/28/2026","000004057 - NFS"
"A PRAZO","","174791","013537","AMAZONAS COPIADORAS LTDA","3006","1000003103","LOCACAO DE IMPRESSORA","MS","  2.00000000 ","  489.2900 ","  978.58 ","1/5/2026","1/5/2026","  1 ","0001","","01-PA - MANAUS","TAYANE.OLIVEIRA","1000","Aprovado","1/29/2026","000073172 - ND"
"A PRAZO","","174791","013537","AMAZONAS COPIADORAS LTDA","3006","1000001298","IMPRESSAO PRETO E BRANCO","UN","  6,425.00000000 ","  0.0400 ","  257.00 ","1/5/2026","1/5/2026","  1 ","0002","","01-PA - MANAUS","TAYANE.OLIVEIRA","1000","Aprovado","1/29/2026","000073172 - ND"
"A PRAZO","","174791","013537","AMAZONAS COPIADORAS LTDA","3006","1000001154","SERVICO DE MANUTENCAO EM SCANNER","SV","  1.00000000 ","  95.0000 ","  95.00 ","1/5/2026","1/5/2026","  1 ","0003","","01-PA - MANAUS","TAYANE.OLIVEIRA","1000","Aprovado","1/29/2026","000073172 - ND"
"A PRAZO","","174792","012123","A CARVALHO DA SILVA E CIA LTDA","2003","0000002238","LONA PE AZ 100MICRA 5,0X 4M","UN","  1.00000000 ","  177.3000 ","  177.30 ","1/5/2026","1/5/2026","  1 ","0001","","01-PA - MANAUS","JUANMARTINS","0770001","Aprovado","1/26/2026","000160841 - 1"
"30 DIAS D","139598","174793","011493","J A F DE LIMA","1235","0000006658","PAPEL SULFITE 75G BR A3 (297X420MM) PCT 500FL","RS","  5.00000000 ","  65.1400 ","  325.70 ","1/5/2026","1/8/2026","  1 ","0001","0002","01-PA - MANAUS","EDNILSONBRITO","0150013","Aprovado","2/11/2026","000034913 - 002"
"A VISTA","139773","174794","014255","IGOR BRASIL DA CRUZ 00100537278","2010","0000001009","SERV TRANSP MUNICIP VEICULO","UN","  1.00000000 ","  8,785.1500 ","  8,785.15 ","1/5/2026","1/30/2026","  1 ","0001","0001","01-PA - MANAUS","SILVIO.SILVEIRA","2160002","Aprovado","6/16/2026","000000011 - NFS"
"10 DD","","174796","013230","UPNETIX TELECOM LTDA","3006","1000002723","INTERNET MENSALIDADE - BUSINESS LIGHT 200MEGA","MS","  1.00000000 ","  649.0000 ","  649.00 ","1/5/2026","1/5/2026","  1 ","0001","","01-PA - MANAUS","ASILVA","1000","Aprovado","1/12/2026","000000547 - 001"
"30 DIAS D","139744","174798","007860","JOSE MARIA GOERSCH ANDRADE - ME","1223","0000003992","BOTINA SEGUR ELETRICISTA COURO PT BIQ COMP ELAST 38","P","  3.00000000 ","  90.0000 ","  270.00 ","1/5/2026","1/6/2026","  1 ","0001","0002","01-PA - MANAUS","EDNILSONBRITO","0330005","Aprovado","2/19/2026","000008328 - 1"
"30 DIAS D","139744","174798","007860","JOSE MARIA GOERSCH ANDRADE - ME","1223","0000003993","BOTINA SEGUR ELETRICISTA COURO PT BIQ COMP ELAST 39","P","  3.00000000 ","  90.0000 ","  270.00 ","1/5/2026","1/6/2026","  1 ","0002","0003","01-PA - MANAUS","EDNILSONBRITO","0330005","Aprovado","2/19/2026","000008328 - 1"
"30 DIAS D","139744","174798","007860","JOSE MARIA GOERSCH ANDRADE - ME","1223","0000003994","BOTINA SEGUR ELETRICISTA COURO PT BIQ COMP ELAST 40","P","  3.00000000 ","  90.0000 ","  270.00 ","1/5/2026","1/6/2026","  1 ","0003","0004","01-PA - MANAUS","EDNILSONBRITO","0330005","Aprovado","2/19/2026","000008328 - 1"
"30 DIAS D","139744","174798","007860","JOSE MARIA GOERSCH ANDRADE - ME","1223","0000003995","BOTINA SEGUR ELETRICISTA COURO PT BIQ COMP ELAST 41","P","  3.00000000 ","  90.0000 ","  270.00 ","1/5/2026","1/6/2026","  1 ","0004","0005","01-PA - MANAUS","EDNILSONBRITO","0330005","Aprovado","2/19/2026","000008328 - 1"
"A VISTA","139777","174799","011161","GURGELMIX MAQUINAS E FERRAMENTAS S.A.","1238","0000006941","ASPIRADOR PO/LIQ INDUSTRIAL 220V 1400W 1,3M3/MIN INOX 12L","UN","  1.00000000 ","  433.2200 ","  433.22 ","1/6/2026","1/6/2026","  1 ","0001","0001","01-PA - MANAUS","GLEICIANESILVA","0230001","Aprovado","3/11/2026","000054810 - 054"
"A PRAZO","","174800","014154","52.516.765 JEYMMESON MACIEL DA GAMA","1235","0000001015","SERV TREINAM BETONEIRA","UN","  10.00000000 ","  49.9000 ","  499.00 ","1/6/2026","1/7/2026","  1 ","0001","","01-PA - MANAUS","JUANMARTINS","2080002","Aprovado","1/15/2026","000000072 - NFS"
"A VISTA","139767","174802","015767","AMAZONIA COMERCIO E SERVICO DE COMPRESSORES E EQUIPAMENTOS L","1223","0000005598","TALHA MANUAL CORRENTE 5M 3000KG","UN","  1.00000000 ","  1,334.0000 ","  1,334.00 ","1/6/2026","1/6/2026","  1 ","0001","0001","01-PA - MANAUS","EDNILSONBRITO","0290008","Aprovado","2/3/2026","000005399 - NFE"
"A PRAZO","","174803","013988","TICKET SERVICOS SA","1104","1000003618","VALE ALIMENTACAO","VB","  3,587.00000000 ","  1.0000 ","  3,587.00 ","1/6/2026","1/6/2026","  1 ","0001","","01-PA - MANAUS","RHEBEKAARAGAO","1000","Aprovado","1/29/2026","096968634 - NFS"
"A PRAZO","","174804","013988","TICKET SERVICOS SA","1196","1000003618","VALE ALIMENTACAO","VB","  1,536.00000000 ","  1.0000 ","  1,536.00 ","1/6/2026","1/6/2026","  1 ","0001","","01-PA - MANAUS","RHEBEKAARAGAO","1000","Aprovado","1/29/2026","096968636 - NFS"
"A PRAZO","","174805","013988","TICKET SERVICOS SA","1197","1000003618","VALE ALIMENTACAO","VB","  606.00000000 ","  1.0000 ","  606.00 ","1/6/2026","1/6/2026","  1 ","0001","","01-PA - MANAUS","RHEBEKAARAGAO","1000","Aprovado","1/29/2026","096968633 - NFS"
"A PRAZO","","174806","013988","TICKET SERVICOS SA","1095","100003232","CESTA BASICA - FILIAL 01","UN","  7.00000000 ","  150.0000 ","  1,050.00 ","1/6/2026","1/7/2026","  1 ","0001","","01-PA - MANAUS","RHEBEKAARAGAO","0007","Aprovado","2/2/2026","097055201 - NFS"
"A PRAZO","","174807","013988","TICKET SERVICOS SA","1103","1000003618","VALE ALIMENTACAO","VB","  27,588.00000000 ","  1.0000 ","  27,588.00 ","1/6/2026","1/6/2026","  1 ","0001","","01-PA - MANAUS","RHEBEKAARAGAO","1000","Aprovado","2/2/2026","097055199 - NFS"
"A PRAZO","","174808","013988","TICKET SERVICOS SA","1223","1000003618","VALE ALIMENTACAO","VB","  6,336.00000000 ","  1.0000 ","  6,336.00 ","1/6/2026","1/8/2026","  1 ","0001","","01-PA - MANAUS","RHEBEKAARAGAO","1000","Aprovado","2/2/2026","097055198 - NFS"
"A PRAZO","","174809","013988","TICKET SERVICOS SA","1225","100003232","CESTA BASICA - FILIAL 01","UN","  1.00000000 ","  150.0000 ","  150.00 ","1/6/2026","1/15/2026","  1 ","0001","","01-PA - MANAUS","RHEBEKAARAGAO","0007","Aprovado","2/2/2026","097055200 - NFS"
"A PRAZO","","174810","013988","TICKET SERVICOS SA","1235","100003232","CESTA BASICA - FILIAL 01","UN","  16.00000000 ","  150.0000 ","  2,400.00 ","1/6/2026","1/12/2026","  1 ","0001","","01-PA - MANAUS","RHEBEKAARAGAO","0007","Aprovado","2/2/2026","097055197 - NFS"
"A PRAZO","","174811","013988","TICKET SERVICOS SA","1237","1000003618","VALE ALIMENTACAO","VB","  8,480.00000000 ","  1.0000 ","  8,480.00 ","1/6/2026","1/6/2026","  1 ","0001","","01-PA - MANAUS","RHEBEKAARAGAO","1000","Aprovado","2/2/2026","097055195 - NFS"
"A PRAZO","","174812","014952","ONFLY TECNOLOGIA LTDA","3006","5000000492","PLATAFORMA","UN","  1.00000000 ","  500.0000 ","  500.00 ","1/6/2026","1/6/2026","  1 ","0001","","01-PA - MANAUS","TAYANE.OLIVEIRA","5000","Aprovado","1/15/2026","000013319 - NFS"
"A PRAZO","","174816","014784","SETELOC S/A","1207","1000002123","LOCACAO DE VEICULO MENSAL","MS","  1.00000000 ","  6,676.3400 ","  6,676.34 ","1/6/2026","1/19/2026","  1 ","0001","","01-PA - MANAUS","LILIAN.MENDES","1000","Aprovado","1/30/2026","000006661 - ND"
"A VISTA","139768","174818","015773","EUROMAD INDUSTRIA E COMERCIO DE MADEIRAS E CONSTRUCOES LTDA","1223","0000006932","TABUA AZIMBRE APARELH 20X 200MM 3,0M","UN","  82.00000000 ","  20.7317 ","  1,700.00 ","1/6/2026","1/7/2026","  1 ","0001","0001","01-PA - MANAUS","EDNILSONBRITO","0890001","Aprovado","1/23/2026","000001486 - NFE"
"A PRAZO","","174819","013273","MARCELO S DOS SANTOS","1095","1000000283","ASO - ATESTADO DE SAUDE OCUPACIONAL","UN","  16.00000000 ","  64.8500 ","  1,037.60 ","1/6/2026","1/7/2026","  1 ","0001","","01-PA - MANAUS","MEDICINAOCUPACIONAL","1000","Aprovado","1/28/2026","000000009 -"
"A PRAZO","","174819","013273","MARCELO S DOS SANTOS","1095","1000001075","HEMOGRAMA COMPLETO/ESPECIFICO - EXAME","UN","  16.00000000 ","  10.8100 ","  172.96 ","1/6/2026","1/7/2026","  1 ","0002","","01-PA - MANAUS","MEDICINAOCUPACIONAL","1000","Aprovado","1/28/2026","000000009 -"
"A PRAZO","","174819","013273","MARCELO S DOS SANTOS","1095","1000000270","GLICOSE - EXAME","UN","  16.00000000 ","  10.8100 ","  172.96 ","1/6/2026","1/7/2026","  1 ","0003","","01-PA - MANAUS","MEDICINAOCUPACIONAL","1000","Aprovado","1/28/2026","000000009 -"
"A PRAZO","","174819","013273","MARCELO S DOS SANTOS","1095","1000001915","RETICULOCITOS - EXAME","UN","  3.00000000 ","  75.6500 ","  226.95 ","1/6/2026","1/7/2026","  1 ","0004","","01-PA - MANAUS","MEDICINAOCUPACIONAL","1000","Aprovado","1/28/2026","000000009 -"
"A PRAZO","","174819","013273","MARCELO S DOS SANTOS","1095","1000001337","COLESTEROL (TOTAL) - EXAME","UN","  15.00000000 ","  10.8100 ","  162.15 ","1/6/2026","1/7/2026","  1 ","0005","","01-PA - MANAUS","MEDICINAOCUPACIONAL","1000","Aprovado","1/28/2026","000000009 -"
"A PRAZO","","174819","013273","MARCELO S DOS SANTOS","1095","1000000279","TRIGLICERIDEOS - EXAME","UN","  14.00000000 ","  10.8100 ","  151.34 ","1/6/2026","1/7/2026","  1 ","0006","","01-PA - MANAUS","MEDICINAOCUPACIONAL","1000","Aprovado","1/28/2026","000000009 -"
"A PRAZO","","174819","013273","MARCELO S DOS SANTOS","1095","1000001653","EXAME - TIPAGEM SANGUINEA E FATOR RH","UN","  1.00000000 ","  5.4000 ","  5.40 ","1/6/2026","1/7/2026","  1 ","0007","","01-PA - MANAUS","MEDICINAOCUPACIONAL","1000","Aprovado","1/28/2026","000000009 -"
"A PRAZO","","174819","013273","MARCELO S DOS SANTOS","1095","1000000260","AUDIOMETRIA - EXAME","UN","  15.00000000 ","  54.0400 ","  810.60 ","1/6/2026","1/7/2026","  1 ","0008","","01-PA - MANAUS","MEDICINAOCUPACIONAL","1000","Aprovado","1/28/2026","000000009 -"
"A PRAZO","","174819","013273","MARCELO S DOS SANTOS","1095","1000003421","ELETROENCEFALOGRAMA","UN","  14.00000000 ","  324.2300 ","  4,539.22 ","1/6/2026","1/7/2026","  1 ","0009","","01-PA - MANAUS","MEDICINAOCUPACIONAL","1000","Aprovado","1/28/2026","000000009 -"
"A PRAZO","","174819","013273","MARCELO S DOS SANTOS","1095","1000003420","ELETROCARDIOGRAMA","UN","  14.00000000 ","  64.8500 ","  907.90 ","1/6/2026","1/7/2026","  1 ","0010","","01-PA - MANAUS","MEDICINAOCUPACIONAL","1000","Aprovado","1/28/2026","000000009 -"
